gid,sub_id,basin_k,s_local,N,mu_z,cov_z,pi,fallback_only,vbgmm_method,dt_s
6,35,5,3,62,"[0.7628088083568396, 5.616075550335814, 5.924488308178847]","[[0.005159234059061281, -0.0022439270473718835, -0.0012161946798012397], [-0.0022439270473718835, 0.003555542929986255, 0.0009137369677134297], [-0.0012161946798012397, 0.0009137369677134299, 0.0031109628460238856]]",0.10894995383182911,False,vbgmm,3.791853666305542
6,36,5,4,72,"[0.8756431034177993, 5.357449419952646, 5.937708705223571]","[[0.006152688886904514, -0.00046456299944853583, 0.000667299985659107], [-0.0004645629994485359, 0.022060709591853165, -0.0020887657046246874], [0.000667299985659107, -0.002088765704624687, 0.0019682865856377654]]",0.15314703326564463,False,vbgmm,3.911076545715332
6,37,5,5,97,"[0.9315770263541893, 5.5888322814833185, 5.866193559357947]","[[0.002723531472019816, -0.00016311324449068637, -7.903284487109892e-05], [-0.00016311324449068637, 0.005025977965379383, 0.0003170435901233426], [-7.903284487109887e-05, 0.00031704359012334237, 0.005090196831593692]]",0.1613167038809063,False,vbgmm,3.9746644496917725
6,38,5,6,121,"[0.723451442545987, 5.658334791370259, 5.732594120807224]","[[0.013047635956758596, -0.0004891807778045386, -0.005043526517464588], [-0.0004891807778045386, 0.0014680662241356095, -0.000517513741527576], [-0.005043526517464588, -0.000517513741527576, 0.015080852040334498]]",0.21248566280179707,False,vbgmm,4.02153205871582
6,39,6,0,649,"[0.5463772873846221, 4.863116153799487, 5.3376791475457965]","[[0.015205513349648987, -0.043244336797532305, 0.017844515733115008], [-0.0432443367975323, 0.15843877478037, -0.0802908455990319], [0.017844515733115004, -0.0802908455990319, 0.11689761524815422]]",0.27543620503872557,False,vbgmm,17.144013166427612
6,40,6,1,150,"[0.9095585606517487, 3.2298380481559144, 3.3548112044665017]","[[0.005981930964508304, -0.024037812957820513, -0.004744454268245852], [-0.024037812957820513, 0.18745735238718578, 0.07733671944602492], [-0.004744454268245852, 0.07733671944602491, 1.7051024968193584]]",0.06499867987842854,False,vbgmm,4.312898397445679
6,41,6,2,282,"[0.7404706878090694, 4.600051061892217, 4.515144825125578]","[[0.021221046099845424, -0.04989719224436392, 0.021355291593742633], [-0.049897192244363925, 0.1388245252518696, -0.07886916455035332], [0.021355291593742637, -0.07886916455035331, 0.455294904665379]]",0.14239498912753099,False,vbgmm,5.58470892906189
6,42,6,3,301,"[0.39001703804057697, 5.405517860203001, 4.2353068849525535]","[[0.00379495354413004, -0.007781262936627626, 0.0037560725139410816], [-0.007781262936627626, 0.03531105290580376, -0.01792679987593794], [0.0037560725139410816, -0.01792679987593794, 0.4302193156673517]]",0.14029526483538723,False,vbgmm,5.578711032867432
6,43,6,4,276,"[0.8619063478099995, 3.912183169341444, 5.3463688707773915]","[[0.0070164696052639145, -0.019344041991698313, 0.007714520665067853], [-0.019344041991698313, 0.127315322429798, -0.011953741103893316], [0.007714520665067852, -0.011953741103893313, 0.1670387124266787]]",0.12104907606328483,False,vbgmm,5.751437425613403
6,44,6,5,248,"[0.5918268176714462, 4.770547994332164, 3.0593125527735316]","[[0.017475072741688764, -0.05389177576950967, 0.07851442294975991], [-0.053891775769509674, 0.23354624793462223, -0.26752276885459797], [0.07851442294975991, -0.26752276885459797, 1.017782232977963]]",0.1050936594485746,False,vbgmm,5.609858512878418
