gid,sub_id,basin_k,s_local,N,mu_z,cov_z,pi,fallback_only,vbgmm_method,dt_s
12,27,4,5,57,"[0.7566166079506325, 2.264455760385566, 5.689126681602418]","[[0.018676897680069856, -0.06507186366268382, 0.006034310700288156], [-0.0650718636626838, 0.45324346290228384, -0.044697060868374695], [0.006034310700288156, -0.044697060868374695, 0.021375712294519345]]",0.05250388994673951,False,vbgmm,3.6769509315490723
12,28,4,6,203,"[0.3619427119373442, 4.188556059907101, 5.619572249477574]","[[0.0022498214779255966, -0.0070724205453194435, -0.0003735747660340844], [-0.007072420545319444, 0.1786320535061013, 0.0023017741252649637], [-0.0003735747660340844, 0.0023017741252649637, 0.03101940979172538]]",0.17012390462887228,False,vbgmm,4.6245434284210205
12,29,5,0,340,"[0.5948761467935577, 2.8123279550897045, 3.8531580263488476]","[[0.01928295298935537, -0.06646099619975655, 0.0483426974101793], [-0.06646099619975655, 0.430708468766041, -0.23022977154290733], [0.0483426974101793, -0.23022977154290733, 0.505039953554299]]",0.20832239475485015,False,vbgmm,6.294717073440552
12,30,5,1,185,"[0.3898514224959618, 3.979084797301989, 1.0663194400316975]","[[0.004169680022679312, -0.01033229551684696, -0.008355166107452097], [-0.01033229551684696, 0.11058236624311071, -0.0061453039302495314], [-0.008355166107452097, -0.0061453039302495314, 2.7479841661298385]]",0.10589913907490561,False,vbgmm,4.575192928314209
12,31,5,2,194,"[0.43460923567651666, 3.215600925929658, 4.825178602941286]","[[0.007503993316952922, 0.004277325188279262, -0.015100181103543463], [0.004277325188279262, 0.1094707144531677, -0.038341893557826724], [-0.015100181103543461, -0.03834189355782672, 0.22551296096711856]]",0.10685190015797277,False,vbgmm,4.803016424179077
12,32,5,3,202,"[0.7140483580604828, 2.5426691589894177, 0.0478867165388086]","[[0.01678286137766307, -0.0553287726615593, 0.041182896754231944], [-0.05532877266155929, 0.3136237707556259, -0.0946424716466124], [0.041182896754231944, -0.0946424716466124, 1.8178667927216745]]",0.12882262533182573,False,vbgmm,4.898431777954102
12,33,5,4,160,"[0.8204729597528361, 1.809177771080004, 3.636473848175029]","[[0.012581298250633841, -0.012635587370412892, -0.0058419146935009296], [-0.012635587370412892, 0.12400445492895548, -0.12556936804388208], [-0.005841914693500929, -0.12556936804388205, 1.0377714012128283]]",0.08856061880595102,False,vbgmm,4.283930063247681
12,34,5,5,259,"[0.5023821134219728, 2.419661428145989, 5.081388123040159]","[[0.014047820745468105, -0.002054651820356806, -0.001878277799777492], [-0.002054651820356806, 0.3180920743418674, -0.0366851248951596], [-0.001878277799777492, -0.03668512489515959, 0.12098644190880423]]",0.1489043170293306,False,vbgmm,5.33099102973938
12,35,5,6,204,"[0.36624108196273586, 3.9409436473971735, 4.574513275751867]","[[0.002320798837468907, -0.006585790984611661, -0.002910401870929239], [-0.006585790984611661, 0.1180775912809253, -0.07054833966023254], [-0.002910401870929239, -0.07054833966023252, 0.2775810172661819]]",0.10903291057629597,False,vbgmm,4.9285759925842285
12,36,5,7,185,"[0.6163607162945439, 3.013983247650158, 2.318573758289902]","[[0.013236002332143375, -0.04232563394365006, -0.0044472639486372026], [-0.04232563394365006, 0.2371377792257334, -0.01883304183374593], [-0.004447263948637202, -0.01883304183374594, 0.4570256252632133]]",0.10360609426886828,False,vbgmm,4.701276540756226
