cell_id,i_n,i_log_eta,i_log_sy,i_W,i_H,n_lo,n_hi,log_eta_lo,log_eta_hi,log_sy_lo,log_sy_hi,W_lo,W_hi,H_lo,H_hi,current_n,target_n,deficit,est_particles,est_cost,machine_id
778,2,2,0,0,3,0.6500000005,0.82500000075,2.6867968848946537,4.195289680275427,-5.6623075877008215,-2.7488645537486205,2.0,3.25000000025,5.75000000075,7.000000001,5,150,145,356573.589224882,51703170.43760789,0
779,3,2,0,0,3,0.82500000075,1.000000001,2.6867968848946537,4.195289680275427,-5.6623075877008215,-2.7488645537486205,2.0,3.25000000025,5.75000000075,7.000000001,2,150,148,356573.589224882,52772891.20528254,0
782,2,3,0,0,3,0.6500000005,0.82500000075,4.195289680275427,5.703782475656201,-5.6623075877008215,-2.7488645537486205,2.0,3.25000000025,5.75000000075,7.000000001,4,150,146,356573.589224882,52059744.026832774,0
783,3,3,0,0,3,0.82500000075,1.000000001,4.195289680275427,5.703782475656201,-5.6623075877008215,-2.7488645537486205,2.0,3.25000000025,5.75000000075,7.000000001,4,150,146,356573.589224882,52059744.026832774,0
789,1,1,1,0,3,0.47500000025,0.6500000005,1.1783040895138797,2.6867968848946537,-2.7488645537486205,0.16457848020358057,2.0,3.25000000025,5.75000000075,7.000000001,18,150,132,356573.589224882,47067713.77768443,0
792,0,2,1,0,3,0.3,0.47500000025,2.6867968848946537,4.195289680275427,-2.7488645537486205,0.16457848020358057,2.0,3.25000000025,5.75000000075,7.000000001,17,150,133,356573.589224882,47424287.36690931,0
794,2,2,1,0,3,0.6500000005,0.82500000075,2.6867968848946537,4.195289680275427,-2.7488645537486205,0.16457848020358057,2.0,3.25000000025,5.75000000075,7.000000001,10,150,140,356573.589224882,49920302.49148348,0
796,0,3,1,0,3,0.3,0.47500000025,4.195289680275427,5.703782475656201,-2.7488645537486205,0.16457848020358057,2.0,3.25000000025,5.75000000075,7.000000001,19,150,131,356573.589224882,46711140.188459545,0
805,1,1,2,0,3,0.47500000025,0.6500000005,1.1783040895138797,2.6867968848946537,0.16457848020358057,3.0780215141557807,2.0,3.25000000025,5.75000000075,7.000000001,91,150,59,356573.589224882,21037841.76426804,0
806,2,1,2,0,3,0.6500000005,0.82500000075,1.1783040895138797,2.6867968848946537,0.16457848020358057,3.0780215141557807,2.0,3.25000000025,5.75000000075,7.000000001,66,150,84,356573.589224882,29952181.49489009,0
807,3,1,2,0,3,0.82500000075,1.000000001,1.1783040895138797,2.6867968848946537,0.16457848020358057,3.0780215141557807,2.0,3.25000000025,5.75000000075,7.000000001,83,150,67,356573.589224882,23890430.478067096,0
809,1,2,2,0,3,0.47500000025,0.6500000005,2.6867968848946537,4.195289680275427,0.16457848020358057,3.0780215141557807,2.0,3.25000000025,5.75000000075,7.000000001,109,150,41,356573.589224882,14619517.158220163,0
811,3,2,2,0,3,0.82500000075,1.000000001,2.6867968848946537,4.195289680275427,0.16457848020358057,3.0780215141557807,2.0,3.25000000025,5.75000000075,7.000000001,99,150,51,356573.589224882,18185253.05046898,0
838,2,1,0,1,3,0.6500000005,0.82500000075,1.1783040895138797,2.6867968848946537,-5.6623075877008215,-2.7488645537486205,3.25000000025,4.5000000005,5.75000000075,7.000000001,12,150,138,499203.0249376555,68890017.44139646,0
841,1,2,0,1,3,0.47500000025,0.6500000005,2.6867968848946537,4.195289680275427,-5.6623075877008215,-2.7488645537486205,3.25000000025,4.5000000005,5.75000000075,7.000000001,18,150,132,499203.0249376555,65894799.291770525,0
844,0,3,0,1,3,0.3,0.47500000025,4.195289680275427,5.703782475656201,-5.6623075877008215,-2.7488645537486205,3.25000000025,4.5000000005,5.75000000075,7.000000001,18,150,132,499203.0249376555,65894799.291770525,0
845,1,3,0,1,3,0.47500000025,0.6500000005,4.195289680275427,5.703782475656201,-5.6623075877008215,-2.7488645537486205,3.25000000025,4.5000000005,5.75000000075,7.000000001,18,150,132,499203.0249376555,65894799.291770525,0
846,2,3,0,1,3,0.6500000005,0.82500000075,4.195289680275427,5.703782475656201,-5.6623075877008215,-2.7488645537486205,3.25000000025,4.5000000005,5.75000000075,7.000000001,14,150,136,499203.0249376555,67891611.39152114,0
848,0,0,1,1,3,0.3,0.47500000025,-0.3301887058668941,1.1783040895138797,-2.7488645537486205,0.16457848020358057,3.25000000025,4.5000000005,5.75000000075,7.000000001,1,150,149,499203.0249376555,74381250.71571067,0
853,1,1,1,1,3,0.47500000025,0.6500000005,1.1783040895138797,2.6867968848946537,-2.7488645537486205,0.16457848020358057,3.25000000025,4.5000000005,5.75000000075,7.000000001,48,150,102,499203.0249376555,50918708.54364086,0
854,2,1,1,1,3,0.6500000005,0.82500000075,1.1783040895138797,2.6867968848946537,-2.7488645537486205,0.16457848020358057,3.25000000025,4.5000000005,5.75000000075,7.000000001,22,150,128,499203.0249376555,63897987.1920199,0
855,3,1,1,1,3,0.82500000075,1.000000001,1.1783040895138797,2.6867968848946537,-2.7488645537486205,0.16457848020358057,3.25000000025,4.5000000005,5.75000000075,7.000000001,16,150,134,499203.0249376555,66893205.34164584,0
856,0,2,1,1,3,0.3,0.47500000025,2.6867968848946537,4.195289680275427,-2.7488645537486205,0.16457848020358057,3.25000000025,4.5000000005,5.75000000075,7.000000001,41,150,109,499203.0249376555,54413129.718204446,0
859,3,2,1,1,3,0.82500000075,1.000000001,2.6867968848946537,4.195289680275427,-2.7488645537486205,0.16457848020358057,3.25000000025,4.5000000005,5.75000000075,7.000000001,14,150,136,499203.0249376555,67891611.39152114,0
862,2,3,1,1,3,0.6500000005,0.82500000075,4.195289680275427,5.703782475656201,-2.7488645537486205,0.16457848020358057,3.25000000025,4.5000000005,5.75000000075,7.000000001,24,150,126,499203.0249376555,62899581.14214459,0
863,3,3,1,1,3,0.82500000075,1.000000001,4.195289680275427,5.703782475656201,-2.7488645537486205,0.16457848020358057,3.25000000025,4.5000000005,5.75000000075,7.000000001,20,150,130,499203.0249376555,64896393.24189521,0
864,0,0,2,1,3,0.3,0.47500000025,-0.3301887058668941,1.1783040895138797,0.16457848020358057,3.0780215141557807,3.25000000025,4.5000000005,5.75000000075,7.000000001,2,150,148,499203.0249376555,73882047.69077301,0
869,1,1,2,1,3,0.47500000025,0.6500000005,1.1783040895138797,2.6867968848946537,0.16457848020358057,3.0780215141557807,3.25000000025,4.5000000005,5.75000000075,7.000000001,120,150,30,499203.0249376555,14976090.748129664,0
871,3,1,2,1,3,0.82500000075,1.000000001,1.1783040895138797,2.6867968848946537,0.16457848020358057,3.0780215141557807,3.25000000025,4.5000000005,5.75000000075,7.000000001,67,150,83,499203.0249376555,41433851.0698254,0
873,1,2,2,1,3,0.47500000025,0.6500000005,2.6867968848946537,4.195289680275427,0.16457848020358057,3.0780215141557807,3.25000000025,4.5000000005,5.75000000075,7.000000001,116,150,34,499203.0249376555,16972902.847880285,0
900,0,1,0,2,3,0.3,0.47500000025,1.1783040895138797,2.6867968848946537,-5.6623075877008215,-2.7488645537486205,4.5000000005,5.75000000075,5.75000000075,7.000000001,9,150,141,641832.4606504291,90498376.9517105,0
901,1,1,0,2,3,0.47500000025,0.6500000005,1.1783040895138797,2.6867968848946537,-5.6623075877008215,-2.7488645537486205,4.5000000005,5.75000000075,5.75000000075,7.000000001,11,150,139,641832.4606504291,89214712.03040965,0
904,0,2,0,2,3,0.3,0.47500000025,2.6867968848946537,4.195289680275427,-5.6623075877008215,-2.7488645537486205,4.5000000005,5.75000000075,5.75000000075,7.000000001,3,150,147,641832.4606504291,94349371.71561308,0
905,1,2,0,2,3,0.47500000025,0.6500000005,2.6867968848946537,4.195289680275427,-5.6623075877008215,-2.7488645537486205,4.5000000005,5.75000000075,5.75000000075,7.000000001,4,150,146,641832.4606504291,93707539.25496265,0
906,2,2,0,2,3,0.6500000005,0.82500000075,2.6867968848946537,4.195289680275427,-5.6623075877008215,-2.7488645537486205,4.5000000005,5.75000000075,5.75000000075,7.000000001,3,150,147,641832.4606504291,94349371.71561308,0
907,3,2,0,2,3,0.82500000075,1.000000001,2.6867968848946537,4.195289680275427,-5.6623075877008215,-2.7488645537486205,4.5000000005,5.75000000075,5.75000000075,7.000000001,2,150,148,641832.4606504291,94991204.17626351,0
909,1,3,0,2,3,0.47500000025,0.6500000005,4.195289680275427,5.703782475656201,-5.6623075877008215,-2.7488645537486205,4.5000000005,5.75000000075,5.75000000075,7.000000001,4,150,146,641832.4606504291,93707539.25496265,0
918,2,1,1,2,3,0.6500000005,0.82500000075,1.1783040895138797,2.6867968848946537,-2.7488645537486205,0.16457848020358057,4.5000000005,5.75000000075,5.75000000075,7.000000001,17,150,133,641832.4606504291,85363717.26650707,0
921,1,2,1,2,3,0.47500000025,0.6500000005,2.6867968848946537,4.195289680275427,-2.7488645537486205,0.16457848020358057,4.5000000005,5.75000000075,5.75000000075,7.000000001,12,150,138,641832.4606504291,88572879.56975922,0
922,2,2,1,2,3,0.6500000005,0.82500000075,2.6867968848946537,4.195289680275427,-2.7488645537486205,0.16457848020358057,4.5000000005,5.75000000075,5.75000000075,7.000000001,18,150,132,641832.4606504291,84721884.80585665,0
924,0,3,1,2,3,0.3,0.47500000025,4.195289680275427,5.703782475656201,-2.7488645537486205,0.16457848020358057,4.5000000005,5.75000000075,5.75000000075,7.000000001,24,150,126,641832.4606504291,80870890.04195407,0
926,2,3,1,2,3,0.6500000005,0.82500000075,4.195289680275427,5.703782475656201,-2.7488645537486205,0.16457848020358057,4.5000000005,5.75000000075,5.75000000075,7.000000001,23,150,127,641832.4606504291,81512722.5026045,0
932,0,1,2,2,3,0.3,0.47500000025,1.1783040895138797,2.6867968848946537,0.16457848020358057,3.0780215141557807,4.5000000005,5.75000000075,5.75000000075,7.000000001,117,150,33,641832.4606504291,21180471.20146416,0
936,0,2,2,2,3,0.3,0.47500000025,2.6867968848946537,4.195289680275427,0.16457848020358057,3.0780215141557807,4.5000000005,5.75000000075,5.75000000075,7.000000001,124,150,26,641832.4606504291,16687643.976911157,0
964,0,1,0,3,3,0.3,0.47500000025,1.1783040895138797,2.6867968848946537,-5.6623075877008215,-2.7488645537486205,5.75000000075,7.000000001,5.75000000075,7.000000001,24,150,126,784461.8963632025,98842198.94176352,0
965,1,1,0,3,3,0.47500000025,0.6500000005,1.1783040895138797,2.6867968848946537,-5.6623075877008215,-2.7488645537486205,5.75000000075,7.000000001,5.75000000075,7.000000001,56,150,94,784461.8963632025,73739418.25814104,0
967,3,1,0,3,3,0.82500000075,1.000000001,1.1783040895138797,2.6867968848946537,-5.6623075877008215,-2.7488645537486205,5.75000000075,7.000000001,5.75000000075,7.000000001,6,150,144,784461.8963632025,112962513.07630116,0
969,1,2,0,3,3,0.47500000025,0.6500000005,2.6867968848946537,4.195289680275427,-5.6623075877008215,-2.7488645537486205,5.75000000075,7.000000001,5.75000000075,7.000000001,5,150,145,784461.8963632025,113746974.97266436,0
974,2,3,0,3,3,0.6500000005,0.82500000075,4.195289680275427,5.703782475656201,-5.6623075877008215,-2.7488645537486205,5.75000000075,7.000000001,5.75000000075,7.000000001,3,150,147,784461.8963632025,115315898.76539077,0
975,3,3,0,3,3,0.82500000075,1.000000001,4.195289680275427,5.703782475656201,-5.6623075877008215,-2.7488645537486205,5.75000000075,7.000000001,5.75000000075,7.000000001,3,150,147,784461.8963632025,115315898.76539077,0
982,2,1,1,3,3,0.6500000005,0.82500000075,1.1783040895138797,2.6867968848946537,-2.7488645537486205,0.16457848020358057,5.75000000075,7.000000001,5.75000000075,7.000000001,102,150,48,784461.8963632025,37654171.02543372,0
987,3,2,1,3,3,0.82500000075,1.000000001,2.6867968848946537,4.195289680275427,-2.7488645537486205,0.16457848020358057,5.75000000075,7.000000001,5.75000000075,7.000000001,14,150,136,784461.8963632025,106686817.90539554,0
989,1,3,1,3,3,0.47500000025,0.6500000005,4.195289680275427,5.703782475656201,-2.7488645537486205,0.16457848020358057,5.75000000075,7.000000001,5.75000000075,7.000000001,31,150,119,784461.8963632025,93350965.6672211,0
