n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,split,gid,length_bin,sub_id
0.80027754,40.03930782,393.25003437,2.3,5.0,0.26790047,0.44405746,0.53284216,0.59061575,0.63513374,0.66835594,0.69519615,0.715045,train,2,1,9
0.97730873,87.96190119,308.13058224,2.31738114,4.83548189,0.25341964,0.4757874,0.6853044,0.87826371,1.05513144,1.21586061,1.36166978,1.49382067,train,2,1,6
0.47009426,129.47147535,295.99551047,2.9,4.5,0.36404037,0.68122053,0.8741889,1.0016994,1.0984135,1.1775718,1.2436409,1.3017354,train,2,1,9
0.83846282,27.74659011,328.82740963,2.8,4.0,0.42881632,0.93383646,1.2775583,1.4605598,1.555861,1.6157622,1.6609745,1.6957865,train,2,1,5
0.70009871,15.15187279,119.71459446,2.6,4.2,0.76533175,2.1053991,3.055005,3.5299826,3.7750096,3.9119468,3.9958415,4.0538497,train,2,2,10
0.6564456,226.06212912,355.0120333,2.1,4.9,0.1118145,0.12629747,0.15921497,0.18643475,0.20257378,0.2182188,0.23637056,0.24855232,train,2,0,3
0.30749786,116.03295202,85.78343242,2.00513912,4.71459362,0.62239933,2.02150726,3.29030561,4.01273823,4.18501377,4.20905685,4.23264933,4.25518179,train,2,2,12
0.59255379,61.54407978,230.00529553,2.78076663,4.31284332,0.54830909,1.50431728,2.26977301,2.6844492,2.87190533,2.97695637,3.0567522,3.12433958,train,2,2,14
0.30177941,258.14324553,25.08897819,2.31540486,4.68463104,0.46004486,1.26566744,1.93085909,2.29802513,2.4796114,2.60203552,2.70069647,2.7854619,train,2,2,14
0.84777723,256.5322883,299.1106411,2.7,4.8,0.17696095,0.19527054,0.26516962,0.3331318,0.37391615,0.42579317,0.4691944,0.5143404,train,2,0,0
0.65555579,7.58980348,76.28847544,2.06587602,4.07780889,0.96024656,3.08983731,5.14741421,6.50656414,7.01512718,7.06033707,7.06159401,7.06212425,train,2,2,13
0.74754588,253.14170613,281.12707788,2.7,4.9,0.1785841,0.21988153,0.29768658,0.36626244,0.41497803,0.47091103,0.5180273,0.56655836,train,2,0,4
0.81526382,211.0127924,283.03678124,2.3,4.7,0.14459848,0.17912006,0.2386694,0.28488827,0.32980776,0.37328434,0.41250944,0.4492364,train,2,0,0
0.3,7.058147318070363,19.6381675061964,2.06900573,4.18195152,1.170971393585205,3.988971948623657,7.3938140869140625,10.4952392578125,12.612771034240724,12.981809616088867,12.98291301727295,12.983757972717283,train,2,3,18
0.88387081,193.95099785,273.33296794,2.6,4.3,0.17135811,0.22862911,0.3139944,0.38696718,0.4505105,0.5120239,0.5717392,0.62655926,train,2,0,4
0.340073,20.534721,9.944113,2.0,5.0,1.10974693,3.62963533,6.50066614,9.07523155,10.63704491,11.05119133,11.05871201,11.06083298,train,2,3,15
0.4863462,73.169179,38.61979431,2.6,4.2,0.64711714,1.7063165,2.4342222,2.8048062,3.014328,3.1610713,3.2768273,3.3751583,train,2,2,14
0.54361159,81.15444183,92.20133209,2.05973077,4.23037434,0.52838326,1.51622629,2.27214122,2.66165662,2.85803819,2.98778462,3.09341884,3.18323827,train,2,2,14
0.93520971,126.65740607,187.55076371,2.7,4.6,0.24043179,0.40491915,0.56428194,0.70796585,0.8371129,0.9568167,1.0660219,1.1662755,train,2,1,6
0.41295975,92.56049985,228.60730735,2.9,4.5,0.51018286,1.2256002,1.7228155,1.9331717,2.0192118,2.0769982,2.1270456,2.1708274,train,2,1,5
0.664463,123.74344533,11.91123025,2.18201061,4.7994495,0.40423703,0.97687697,1.45276809,1.81521654,2.09669447,2.32559824,2.51593542,2.67871666,train,2,2,11
0.30979058,270.34365246,168.89902614,2.2,4.9,0.22486973,0.32832336,0.39932966,0.4538617,0.5055895,0.5511198,0.59147644,0.6281476,train,2,0,1
0.33020592,16.82109451,48.30373383,2.55308414,4.20665932,1.13614726,3.65622759,6.38646889,8.62236691,9.79618549,9.98216915,9.98329735,9.98382759,train,2,3,16
0.57425886,175.05725532,284.53203072,2.0,4.6,0.15372896,0.1949954,0.24742746,0.2901683,0.32428217,0.3553648,0.38607454,0.41461134,train,2,0,2
0.62838374,172.07196102,16.16028023,2.52167548,4.17957104,0.37079477,0.79131317,1.13736701,1.4230957,1.66179228,1.86351633,2.03624725,2.18641806,train,2,1,7
